name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,rain_tomorrow,precip_tomorrow
seoul,2001-07-09,85.7,69.5,76.7,87.6,69.5,77.3,66.6,72.5,0.0,0,0.0,,,,,9.0,280.0,1008.4,56.5,8.7,,,,,2001-07-09T05:18:28,2001-07-09T19:55:35,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47120099999,47110099999,47117099999,47095099999,47119099999,47110599999,47122099999,47070099999,47108099999",1,0.568
seoul,2003-04-03,66.2,44.7,55.2,66.2,42.3,54.5,25.6,33.4,0.0,0,0.0,,0.0,0.0,,9.6,84.5,1014.5,75.4,7.1,,,,,2003-04-03T06:15:44,2003-04-03T18:55:51,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47127099999,47098099999,47112099999,47110099999,47119099999,47110599999,47122099999,47099099999,47104099999,47070099999,47106499999,47108099999",0,0.0
seoul,2008-07-29,89.7,73.8,82.1,102.3,73.8,86.9,74.0,77.6,0.0,0,0.0,,0.0,0.0,,10.8,274.3,1011.6,49.7,6.5,,,,,2008-07-29T05:33:21,2008-07-29T19:43:05,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47098099999,47112099999,47110099999,47119099999,47127043216,47122099999,47099099999,47108099999",1,0.042
seoul,2007-03-13,50.2,27.1,39.2,50.2,25.5,37.0,26.5,65.5,0.0,0,0.0,,0.0,0.0,,12.2,273.2,1020.9,11.0,6.0,,,,,2007-03-13T06:47:17,2007-03-13T18:36:37,0.8,Clear,Clear conditions throughout the day.,clear-day,"47098099999,47112099999,47110099999,47119099999,47127043216,47122099999,47099099999,47108099999,47113199999",1,0.012
seoul,1996-08-27,69.9,63.6,66.9,69.9,63.6,66.9,64.5,92.3,0.935,100,8.33,rain,,,,7.9,67.5,1009.6,100.0,6.0,,,,,1996-08-27T05:57:45,1996-08-27T19:08:39,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"47111099999,47112099999,47120099999,47110099999,47119099999,47127043216,47110599999,47122099999,47108099999",1,0.18
seoul,2016-05-16,70.6,51.9,60.6,70.6,51.9,60.6,44.0,58.3,0.405,100,16.67,rain,0.0,0.0,25.5,13.8,258.6,1009.4,38.8,7.9,317.9,27.2,10.0,,2016-05-16T05:21:55,2016-05-16T19:35:19,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"47111099999,47098099999,47112099999,RKSM,47110099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS",0,0.0
seoul,1999-08-23,89.3,68.3,78.7,90.8,68.3,79.2,64.4,63.7,0.0,0,0.0,,,,,8.9,63.4,1013.1,59.8,6.6,,,,,1999-08-23T05:53:45,1999-08-23T19:15:13,0.38,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47111099999,47112099999,47120099999,47110099999,47117099999,47119099999,47127043216,47110599999,47122099999,47104099999,47106499999,47108099999",0,0.0
seoul,2005-06-23,87.1,69.7,76.5,89.7,69.7,77.2,65.8,71.4,0.0,0,0.0,,0.0,0.0,,8.8,270.0,1006.2,39.3,4.0,,,,,2005-06-23T05:11:24,2005-06-23T19:56:52,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"47111099999,47112099999,47120099999,47110099999,47119099999,47127043216,47116599999,47122099999,47108099999",0,0.0
seoul,2022-05-26,73.4,57.38,65.66,73.4,57.38,65.66,49.28,60.3,0.0008661417322834,100,8.33,rain,0.0,0.0,28.210322243901224,13.79447475362571,234.2,1004.2,44.2,11.93035654367629,348.2,30.4,10.0,10.0,2022-05-26T05:15:26,2022-05-26T19:43:04,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"47098099999,47119099999,RKSI,47099099999,47070099999,47108099999,47111099999,47112099999,RKSM,47110099999,47127043216,47122099999,RKSS,47113199999",0,0.0
seoul,1999-02-28,44.2,16.0,30.7,38.8,10.3,26.6,16.6,56.9,0.0,0,0.0,,,,,10.3,299.5,1026.6,39.1,8.2,,,,,1999-02-28T07:05:59,1999-02-28T18:23:55,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47120499999,47119099999,47070099999,69340499999,47106499999,47108099999,47111099999,47112099999,47120099999,47110099999,47117099999,47127043216,47120599999,47122099999",0,0.0
