name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seoul,2018-01-01,38.3,19.4,28.8,34.6,19.4,27.5,10.9,49.6,0,0,0,,0,0.3,10.7,6.5,303.3,1027.7,10.5,8,0.1,0,0,,2018-01-01T07:46:51,2018-01-01T17:24:02,0.47,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-02,35.9,22,28.6,29.9,19.1,25.1,10.3,50.7,0,0,0,,0,0.1,19.5,10.2,310.8,1029.1,22.2,7.7,6.8,0.4,1,,2018-01-02T07:47:01,2018-01-02T17:24:50,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47108099999,RKSS"
seoul,2018-01-03,30.5,18.7,24.7,24,12.7,18.1,4.6,42.4,0,0,0,,0,0.2,20.8,10.3,321,1031.1,41,8.2,123.1,10.7,5,,2018-01-03T07:47:08,2018-01-03T17:25:39,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-04,29.9,16.8,22.7,29.9,11.3,19.2,5.2,47.5,0,0,0,,0,0.4,13.2,6,325.5,1028.3,50.2,8,91,8,4,,2018-01-04T07:47:13,2018-01-04T17:26:29,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-05,34.8,19.2,26.1,30.4,15,23.5,11.1,53.3,0,0,0,,0,0.5,20.1,9.1,289.7,1021.6,30,7.3,105.9,9,5,,2018-01-05T07:47:16,2018-01-05T17:27:21,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-06,36.8,16.7,26.3,32.9,16.7,23.9,10.1,52.3,0,0,0,,0,0.4,17.4,6.1,309,1023.8,4.8,7.3,125.8,10.9,5,,2018-01-06T07:47:17,2018-01-06T17:28:14,0.63,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-07,36.8,17.6,28.6,36.8,13.2,27.6,12.8,53.2,0,0,0,,0,0.1,8.9,4.3,38.9,1022.6,68.3,7.1,64.8,5.6,3,,2018-01-07T07:47:16,2018-01-07T17:29:08,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47108099999,RKSS"
seoul,2018-01-08,40,32.2,34.8,36.4,22.1,31.5,18.7,53.2,0.376,100,12.5,"rain,snow",0,0.1,33.6,14.8,275.1,1012.3,93.2,5.9,76.5,6.4,4,,2018-01-08T07:47:13,2018-01-08T17:30:03,0.7,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-09,31,21.4,26.2,25.8,12.9,19.3,13.5,58.7,0.033,100,4.17,snow,0,0.2,35.6,14,298.7,1013.5,50,7.2,96.8,8.4,5,,2018-01-09T07:47:08,2018-01-09T17:30:59,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-10,24,14.9,19.7,22.8,4.8,11.9,6.2,57.3,0.048,100,12.5,snow,0,0.4,31.5,18.1,318.4,1018.3,27.4,7.5,128.9,11.2,5,,2018-01-10T07:47:00,2018-01-10T17:31:56,0.77,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-11,18.6,7.6,13.3,8.6,-3.8,3.6,-2,50,0,0,0,,0,0.5,25.3,9.3,303.4,1026.4,19.1,8,130.7,11.2,5,,2018-01-11T07:46:51,2018-01-11T17:32:54,0.8,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-12,22.1,3.4,13.2,22.1,-6.2,7.7,-6.9,40.8,0,0,0,,0,0.3,19.9,6.6,307.5,1031.8,19.4,8.3,133.4,11.5,5,,2018-01-12T07:46:40,2018-01-12T17:33:54,0.83,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
