,corr_rain_tomorrow,corr_precip_tomorrow
cloudcover,0.3791300578277109,0.23585772584068054
precipprob,0.327264610345739,0.19644201967902675
precipcover,0.30633600164676744,0.23756642981802636
humidity,0.28701324702655523,0.20311453550668945
precip,0.22971153965041463,0.25507986608840977
dew,0.23986584035460995,0.2300370344323887
winddir,-0.23133977386489465,-0.14670737335972264
tempmin,0.21516088985992113,0.22290631269794298
sealevelpressure,-0.2211195064504248,-0.17427924248562665
feelslikemin,0.2101461835713672,0.21812738369649348
uvindex,-0.2122960469434619,-0.11260194776990157
temp,0.18673639997845404,0.20341937801963514
feelslike,0.1873492404853189,0.2012243891316345
solarenergy,-0.19293576383291797,-0.09580566636724461
solarradiation,-0.19268144861531764,-0.09559758464763614
feelslikemax,0.1632879662645827,0.18505854321745108
tempmax,0.14758609472090298,0.17591848174665223
severerisk,0.10694280947737814,0.036267939836190165
windgust,0.08837715809149503,0.0885161107672285
visibility,-0.08587910350273031,-0.062258598855342136
snow,0.03784857661219637,-0.006520581121177692
snowdepth,-0.01680673966514165,-0.025563414033119024
moonphase,0.024407645276673016,0.022713704212605608
windspeed,0.006171924652675645,0.022100229885378467
