feature,coefficient
feelslike,-0.5707584172629432
temp,0.5631893593232926
tempmax,-0.5283802223759265
feelslikemax,0.4248514342390702
dew,0.3756935642474826
tempmin,-0.20478560896667408
feelslikemin,0.16426284318897424
humidity,-0.13669535879015507
precip,0.10715976192014433
sealevelpressure,0.09537879794957113
precipcover,0.061914300203588256
cloudcover,0.05909596644254654
precipprob,0.029594266104725892
winddir,-0.0239705371262438
visibility,-0.018463959408943176
moonphase,0.01128534328434855
windspeed,0.010125030327666434
snowdepth,0.0012177470220394934
snow,-0.0005516585085717007
