feature,coefficient
feelslikemax,1.2679449419377888
tempmax,-1.2623737888478817
tempmin,-1.1209495507669676
dew,0.6794332116550802
cloudcover,0.5809611456429558
temp,0.3445168117841855
precipprob,0.2825696021753944
winddir,-0.244783618340189
feelslike,0.243966044763457
precipcover,0.22338352254237928
humidity,-0.22108631513271712
precip,0.18245469013276908
snow,0.09573210529437728
sealevelpressure,-0.0762201915891893
windspeed,-0.0731976798319619
moonphase,0.051663136359710544
visibility,0.036288744091604756
snowdepth,-0.013644814188240564
feelslikemin,-0.006869207116544163
