feature,importance
cloudcover,0.11313422380991967
winddir,0.11207946450978215
humidity,0.06692606922419155
sealevelpressure,0.059278330337293524
dew,0.05898169286571731
precip,0.05742492117978316
windspeed,0.05700951777971472
feelslikemin,0.054163393639709054
tempmin,0.05400010210457283
visibility,0.05370702192795993
moonphase,0.05294528370741432
feelslikemax,0.05004332666267922
tempmax,0.049045132810992924
feelslike,0.048116353352289344
temp,0.047329813719333785
precipcover,0.03345946908482824
precipprob,0.02376229004333329
snowdepth,0.006368102076753447
snow,0.00222549116373149
