feature,importance
precip,0.11825257216744743
winddir,0.10986555507429592
dew,0.10880916035266741
cloudcover,0.0828053578340506
sealevelpressure,0.0789895878465243
visibility,0.07398183013744083
windspeed,0.06515712673102296
humidity,0.05935860462140984
moonphase,0.0563699519215668
feelslikemin,0.0420920013175112
tempmin,0.04064229516646007
tempmax,0.035308875366073765
feelslikemax,0.03278540420276343
temp,0.032370611164759665
precipcover,0.029932343198416304
feelslike,0.029223768632842206
precipprob,0.0015080016695429301
snowdepth,0.0013350154645715997
snow,0.0012119371306326741
