fold,test_span,label,f1,f1_threshold_opt,threshold
1,2009-01-04~2012-01-03,persistence(오늘=내일),0.5509708737864077,0.5509708737864077,
1,2009-01-04~2012-01-03,랜덤포레스트(튜닝),0.5512265512265512,0.615678776290631,0.25
1,2009-01-04~2012-01-03,XGBoost(튜닝),0.56,0.6340956340956341,0.25
2,2012-01-04~2015-01-02,persistence(오늘=내일),0.5236842105263158,0.5236842105263158,
2,2012-01-04~2015-01-02,랜덤포레스트(튜닝),0.5173501577287066,0.5748373101952278,0.3
2,2012-01-04~2015-01-02,XGBoost(튜닝),0.5263157894736842,0.5986238532110092,0.3
3,2015-01-03~2018-01-01,persistence(오늘=내일),0.5547445255474452,0.5547445255474452,
3,2015-01-03~2018-01-01,랜덤포레스트(튜닝),0.5039872408293461,0.6019417475728155,0.3
3,2015-01-03~2018-01-01,XGBoost(튜닝),0.510236220472441,0.6216505894962486,0.25
4,2018-01-02~2020-12-31,persistence(오늘=내일),0.6550925925925926,0.6550925925925926,
4,2018-01-02~2020-12-31,랜덤포레스트(튜닝),0.628005657708628,0.688298918387414,0.3
4,2018-01-02~2020-12-31,XGBoost(튜닝),0.6125874125874126,0.65,0.25
5,2021-01-01~2023-12-31,persistence(오늘=내일),0.6334745762711864,0.6334745762711864,
5,2021-01-01~2023-12-31,랜덤포레스트(튜닝),0.6221142162818954,0.6644897959183673,0.3
5,2021-01-01~2023-12-31,XGBoost(튜닝),0.6453143534994069,0.6814244465832531,0.35
