fold,test_span,label,r2
1,2009-01-04~2012-01-03,persistence(오늘=내일),-0.4528443943536218
1,2009-01-04~2012-01-03,랜덤포레스트(튜닝),0.18820626587224454
1,2009-01-04~2012-01-03,XGBoost(튜닝),0.11229754368873013
2,2012-01-04~2015-01-02,persistence(오늘=내일),-0.5899667254190248
2,2012-01-04~2015-01-02,랜덤포레스트(튜닝),0.13680194663021272
2,2012-01-04~2015-01-02,XGBoost(튜닝),0.14000436518245396
3,2015-01-03~2018-01-01,persistence(오늘=내일),-0.3453499685062096
3,2015-01-03~2018-01-01,랜덤포레스트(튜닝),0.15410945039931734
3,2015-01-03~2018-01-01,XGBoost(튜닝),0.16934515511551396
4,2018-01-02~2020-12-31,persistence(오늘=내일),-0.2941873091226457
4,2018-01-02~2020-12-31,랜덤포레스트(튜닝),0.29424905184961336
4,2018-01-02~2020-12-31,XGBoost(튜닝),0.30450299434893446
5,2021-01-01~2023-12-31,persistence(오늘=내일),-0.6197337457967571
5,2021-01-01~2023-12-31,랜덤포레스트(튜닝),0.07007444915498307
5,2021-01-01~2023-12-31,XGBoost(튜닝),0.06772663119741285
