feature,rf_importance,xgb_importance
cloudcover,0.11086274561333939,0.14776058
precip,0.060144941653974396,0.11781575
winddir,0.11506826331132185,0.06983742
humidity,0.06874675812448981,0.038122546
snow,0.002290058957071249,0.066192195
dew,0.059315944398306876,0.0516183
sealevelpressure,0.05887448878387273,0.03935556
windspeed,0.0563879140821588,0.04129161
precipcover,0.032695141553499264,0.055496052
tempmin,0.05397893984653491,0.04441896
visibility,0.05369630057072386,0.038193673
feelslikemin,0.05305954208294606,0.042395476
moonphase,0.051078559141456106,0.03639077
feelslikemax,0.04927945441988224,0.04195868
tempmax,0.0486307556213334,0.04499503
feelslike,0.046777259157482085,0.04782185
temp,0.047137426778108366,0.038741298
snowdepth,0.006661961782719772,0.03759425
precipprob,0.02531354412077885,0.0
