feature,rf_importance,xgb_importance
dew,0.1447064406937034,0.12353677
precip,0.14456042714601167,0.12378911
winddir,0.10275440976082365,0.05927681
sealevelpressure,0.08283966250166977,0.08903198
cloudcover,0.08849713847803438,0.06039419
windspeed,0.06837969984889156,0.06374937
tempmin,0.03411651100150119,0.063576534
visibility,0.063186236907231,0.05333604
temp,0.02400207954526574,0.058103777
precipcover,0.027046981644276727,0.05801314
humidity,0.05363521518341766,0.055335272
tempmax,0.026307811866503814,0.051377717
moonphase,0.04637227239484807,0.039102722
feelslike,0.023939610479391873,0.044255175
feelslikemin,0.04199361782649829,0.013013969
feelslikemax,0.025896666890263837,0.041798033
snow,0.0008429788289286799,0.0023092993
precipprob,0.000664685744289805,0.0
snowdepth,0.0002575532584489015,0.0
