column,dtype,non_null_count,n_unique
name,str,10958,1
datetime,datetime64[us],10958,10958
tempmax,float64,10958,948
tempmin,float64,10958,907
temp,float64,10958,935
feelslikemax,float64,10958,1117
feelslikemin,float64,10958,980
feelslike,float64,10958,1039
dew,float64,10958,936
humidity,float64,10958,694
precip,float64,10958,1338
precipprob,int64,10958,2
precipcover,float64,10958,25
preciptype,str,4045,3
snow,float64,8035,37
snowdepth,float64,8242,75
windgust,float64,3642,303
windspeed,float64,10958,246
winddir,float64,10958,3076
sealevelpressure,float64,10958,430
cloudcover,float64,10958,1001
visibility,float64,10958,242
solarradiation,float64,5114,2490
solarenergy,float64,5114,305
uvindex,float64,5114,11
severerisk,float64,722,5
sunrise,str,10958,10958
sunset,str,10958,10958
moonphase,float64,10958,96
conditions,str,10958,12
description,str,10958,98
icon,str,10958,7
stations,str,10958,1079
