column,dtype,description,observed_min,observed_max,null_pct
name,str,지역명(관측 지점),,,0.0
datetime,datetime64[us],관측 날짜,,,0.0
tempmax,float64,일 최고기온(°F),8.0,102.3,0.0
tempmin,float64,일 최저기온(°F),-8.5,84.4,0.0
temp,float64,일 평균기온(°F),0.9,91.8,0.0
feelslikemax,float64,체감 최고기온(°F),-0.4,126.6,0.0
feelslikemin,float64,체감 최저기온(°F),-18.9,91.1,0.0
feelslike,float64,체감 평균기온(°F),-7.6,102.8,0.0
dew,float64,이슬점(°F),-15.8,78.44,0.0
humidity,float64,상대습도(%),20.3,99.0,0.0
precip,float64,강수량(inch),0.0,13.46,0.0
precipprob,int64,"강수확률(%, 0~100) — 이 과거 관측 데이터에서는 0 또는 100만 나타나 사실상 강수 발생 여부 플래그로 쓰임",0,100,0.0
precipcover,float64,하루 중 강수가 있었던 시간 비율(%),0.0,100.0,0.0
preciptype,str,강수 형태(rain/snow 등) — 강수 없는 날은 결측,,,63.09
snow,float64,적설량(inch),0.0,16.9,26.67
snowdepth,float64,적설 깊이(inch),0.0,36.2,24.79
windgust,float64,순간 최대 풍속(mph),2.671902767594169,70.2,66.76
windspeed,float64,평균 풍속(mph),2.6,54.3,0.0
winddir,float64,"풍향(도, 0~360)",0.2,359.9,0.0
sealevelpressure,float64,해수면 기압(hPa),990.4,1041.1,0.0
cloudcover,float64,운량(%),0.0,100.0,0.0
visibility,float64,가시거리(mile),0.5,28.707420433221078,0.0
solarradiation,float64,일사량(W/m^2),0.1,356.5,53.33
solarenergy,float64,누적 태양에너지(MJ/m^2),0.0,30.8,53.33
uvindex,float64,자외선지수,0.0,10.0,53.33
severerisk,float64,악기상 위험도(%),5.0,75.0,93.41
sunrise,str,일출 시각,,,0.0
sunset,str,일몰 시각,,,0.0
moonphase,float64,"달의 위상(0~1, 0/1=삭 0.5=보름)",0.0,0.98,0.0
conditions,str,날씨 요약 범주,,,0.0
description,str,날씨 설명 문장,,,0.0
icon,str,날씨 아이콘 코드,,,0.0
stations,str,관측에 쓰인 기상관측소 ID 목록,,,0.0
