column,non_null_count,null_count,null_pct
severerisk,722,10236,93.41
windgust,3642,7316,66.76
preciptype,4045,6913,63.09
uvindex,5114,5844,53.33
solarenergy,5114,5844,53.33
solarradiation,5114,5844,53.33
snow,8035,2923,26.67
snowdepth,8242,2716,24.79
name,10958,0,0.0
dew,10958,0,0.0
feelslike,10958,0,0.0
feelslikemin,10958,0,0.0
feelslikemax,10958,0,0.0
datetime,10958,0,0.0
tempmax,10958,0,0.0
tempmin,10958,0,0.0
temp,10958,0,0.0
humidity,10958,0,0.0
precip,10958,0,0.0
precipprob,10958,0,0.0
precipcover,10958,0,0.0
cloudcover,10958,0,0.0
sealevelpressure,10958,0,0.0
winddir,10958,0,0.0
windspeed,10958,0,0.0
visibility,10958,0,0.0
sunrise,10958,0,0.0
sunset,10958,0,0.0
moonphase,10958,0,0.0
conditions,10958,0,0.0
description,10958,0,0.0
icon,10958,0,0.0
stations,10958,0,0.0
